,contractor,country,value_in_euro,order_purpose,period_start,period_end,year
1251,GMS INTERNATIONAL CORP,USA,327320,SUPPLY OF CASE TURBINE FOR P-3C ORION AIRCRAFT,2013-01-13,2013-06-13,2013
1252,GMS INTERNATIONAL CORP,USA,91388,SUPPLY OF ROTOR ASSEMBLY FOR CN-235 AIRCRAFT,2013-01-13,2013-06-13,2013
1253,HARRIS CORP,USA,328776,SUPPLY OF RECEIVER-TRANSMITTERS,2013-01-13,2013-06-13,2013
1254,HELIAVIAS HAVA DIS TICARET,TUR,244872,SUPPLY OF SPARE PARTS FOR HELICOPTER,2013-01-13,2013-06-13,2013
1255,HELIAVIAS HAVA DIS TICARET,TUR,83898,SUPPLY OF SPARE PARTS FOR HELICOPTER,2013-01-13,2013-06-13,2013
1256,HELIAVIAS HAVA DIS TICARET,TUR,122241,SUPPLY OF SPARE PARTS FOR HELICOPTER,2013-01-13,2013-06-13,2013
1257,HELIAVIAS HAVA DIS TICARET,TUR,93175,SUPPLY OF SPARE PARTS FOR HELICOPTER,2013-01-13,2013-06-13,2013
1258,HELIAVIAS HAVA DIS TICARET,TUR,1331810,SUPPLY OF SPARE PARTS FOR HELICOPTER,2013-01-13,2013-06-13,2013
1259,HELIAVIAS HAVA DIS TICARET,TUR,969731,SUPPLY OF SPARE PARTS FOR HELICOPTER,2013-01-13,2013-06-13,2013
1260,HELIAVIAS HAVA DIS TICARET,TUR,208646,SUPPLY OF SPARE PARTS FOR HELICOPTER,2013-01-13,2013-06-13,2013
1261,HELIAVIAS HAVA DIS TICARET,TUR,504964,SUPPLY OF SPARE PARTS FOR HELICOPTER,2013-01-13,2013-06-13,2013
1262,HELICOPTER SUPPORT INC,USA,116832,"SUPPLY OF PANEL,CONTROL,ELECTRICAL- ELECTRONIC EQUI",2013-01-13,2013-06-13,2013
1263,HELICOPTER SUPPORT INC,USA,1350777,"PROCUREMENT OF BLADE, MAIN ROTOR",2013-01-13,2013-06-13,2013
1264,HELITUNE LTD,GBR,1152703,SUPPLY OF VARIOUS SPARE PARTS FOR HELICOPTER MODEL BELL UH-1D,2013-01-13,2013-06-13,2013
1265,HELITUNE LTD,GBR,113970,SUPPLY OF CABLE ASSEMBLY,2013-01-13,2013-06-13,2013
1266,HELMET INTEGRATED SYSTEMS LTD,GBR,1189309,SUPPLY OF HELICOPTER AIRCREW HELMETS,2013-01-13,2013-06-13,2013
1267,HEWLETT-PACKARD NEDERLAND BV,NLD,127159,SUPPLY OF VIPRION 2400 LOCAL TRAFFIC MANAGER,2013-01-13,2013-06-13,2013
1268,HUNTER DEFENSE TECHNOLOGIES,,,,2013-01-13,2013-06-13,2013
1269,,USA,84526,PURCHASE OF GAS FILTERS,2013-01-13,2013-06-13,2013
1270,INC,,,,2013-01-13,2013-06-13,2013
1271,ICSAT (INFORMATIQUE,,,,2013-01-13,2013-06-13,2013
1272,,FRA,1469310,SUPPLY OF THURAYA BROADBAND KIT,2013-01-13,2013-06-13,2013
1273,COMMUNICATION,,,,2013-01-13,2013-06-13,2013
1274,INDRA SISTEMAS SA,ESP,1375109,SUPPLY OF SPARE PARTS FOR UAV PASI PROJECT,2013-01-13,2013-06-13,2013
1275,INDRA SISTEMAS SA,ESP,85360,PROCUREMENT OF CONSOLE RADAR,2013-01-13,2013-06-13,2013
1276,INTEGRATED PROCUREMENT,,,,2013-01-13,2013-06-13,2013
1277,,USA,98565,PROCUREMENT OF BALL BEARINGS,2013-01-13,2013-06-13,2013
1278,TECHNOLOGIES,,,,2013-01-13,2013-06-13,2013
1279,INVISIO COMMUNICATIONS AS,DNK,530621,SUPPLY OF X50 INVISIO SYSTEMS,2013-01-13,2013-06-13,2013
1280,IRD ENGINEERING SRL,ITA,225000,CUR121-COMKAF OPS BLDG,2013-01-13,2013-06-13,2013
1281,ISS FRANCE SARL,FRA,439583,SUPPLY OF SPARE PARTS FOR HELICOPTER,2013-01-13,2013-06-13,2013
1282,ISS FRANCE SARL,FRA,234900,"PROCUREMENT OF STATOR, STARTER GENERATOR, ENGINE",2013-01-13,2013-06-13,2013
1283,KELLSTROM INDUSTRIES,USA,181557,SUPPLY OF TRANSMITTER PRESSURE AIRCRAFT C-130,2013-01-13,2013-06-13,2013
1284,KONGSBERG DEFENCE &,,,,2013-01-13,2013-06-13,2013
1285,,NOR,85560,LAUNCHER CONTROL ITEMS,2013-01-13,2013-06-13,2013
1286,AEROSPACE AS,,,,2013-01-13,2013-06-13,2013
1287,KRAUSS-MAFFEI WEGMANN GMBH &,,,,2013-01-13,2013-06-13,2013
1288,,DEU,2498917,PROCUREMENT OF A DINGO AMBULANCE,2013-01-13,2013-06-13,2013
1289,CO KG,,,,2013-01-13,2013-06-13,2013
1290,KRAUSS-MAFFEI WEGMANN GMBH &,,,,2013-01-13,2013-06-13,2013
1291,,DEU,172500,PROCUREMENT OF DAMPERS,2013-01-13,2013-06-13,2013
1292,CO KG,,,,2013-01-13,2013-06-13,2013
1293,LACROIX SA,FRA,567926,SUPPLY OF FUMIGENE ARTIFICE,2013-01-13,2013-06-13,2013
1294,LOCKHEED MARTIN,USA,230750,CIRCUIT CARD ASSEMBLY,2013-01-13,2013-06-13,2013
1295,MANITEX LIFTKING ULC,CAN,2150767,SUPPLY OF ROUGH TERRAIN CONTAINER HANDLER,2013-01-13,2013-06-13,2013
1296,MAXCOM PETROLI SPA,ITA,3962551,AVIATION FUEL,2013-01-13,2013-06-13,2013
1297,MHD-ROCKLAND,CAN,88142,SUPPLY OF LEADING EDGE FOR CN-235 AIRCRAFT,2013-01-13,2013-06-13,2013
1298,MHD-ROCKLAND,CAN,87200,"TRAILING EDGE, AIRCRAFT",2013-01-13,2013-06-13,2013
1299,MICROTECNICA SRL,ITA,270401,SUPPLY OF BRAKE ASSY SPARES FOR MB-339 AIRCRAFT,2013-01-13,2013-06-13,2013
1300,MUNITIQUE SARL,FRA,955029,SUPPLY OF CORDEC,2013-01-13,2013-06-13,2013
1301,NAMMO LAPUA OY,FIN,106855,SUPPLY OF CARTRIDGES,2013-01-13,2013-06-13,2013
1302,NAMMO RAUFOSS A/S,NOR,921134,SUPPLY OF ROCKETS,2013-01-13,2013-06-13,2013
1303,NAMMO VANASVERKEN AB,SWE,641560,SUPPLY OF TRACER CARTRIDGES,2013-01-13,2013-06-13,2013
1304,NOBEL SPORT,FRA,311989,SUPPLY OF GRENADES AND CARTRIDGES,2013-01-13,2013-06-13,2013
1305,OBD INSAAT TAAHHUT,TUR,1177853,CONSTRUCTION CIS DEPOT 38,2013-01-13,2013-06-13,2013
1306,OLYMPUS ITALIA SRL,ITA,106232,SUPPLY OF VIDEO PROCESSORS AND ACCESSORIES,2013-01-13,2013-06-13,2013
1307,OPTRONIK OPTIK VE ELEKTRONIK,TUR,589890,SUPPLY OF SCANNING ELECTRON MICROSCOPE,2013-01-13,2013-06-13,2013
1308,ORACLE BELGIUM BVBA,BEL,312607,ORACLE LICENCES,2013-01-13,2013-06-13,2013
1309,ORITEST SPOL SRO,CZE,264029,SUPPLY OF CHEMICAL AGENTS DETECTORS,2013-01-13,2013-06-13,2013
1310,PACIFIC PROPELLER INTERNATIONAL,,,SUPPLY OF VARIOUS SPARE PARTS FOR P-3C,2013-01-13,2013-06-13,2013
1311,LLC,USA,109201,ORION AIRCRAFT,2013-01-13,2013-06-13,2013
1312,PAGACZ I SYNOWIE SP ZOO,POL,258000,PROCUREMENT OF BATTERIES,2013-01-13,2013-06-13,2013
1313,PALL FRANCE SAS,FRA,89725,SUPPLY OF VARIOUS SPARE PARTS,2013-01-13,2013-06-13,2013
1314,PARKER-HANNIFIN LTD,GBR,193991,"COVER,SHIPPING AND STORAGE CONTAINER",2013-01-13,2013-06-13,2013
1315,PLASTIMO FRANCE,FRA,91000,"SUPPLY OF SMOKE, SIGNAL",2013-01-13,2013-06-13,2013
1316,PLASTINOVA,FRA,96860,SUPPLY OF INERT KITS,2013-01-13,2013-06-13,2013
1317,PRICEWATERHOUSECOOPERS,,,,2013-01-13,2013-06-13,2013
1318,,ITA,255000,RATIONALIZATION & INNOVATION SERVICES,2013-01-13,2013-06-13,2013
1319,ADVISORY SPA,,,,2013-01-13,2013-06-13,2013
1320,PROCOMM-MMC,FRA,505663,SUPPLY OF VIDEO KIT,2013-01-13,2013-06-13,2013
1321,PROCOMM-MMC,FRA,566499,SUPPLY OF INES RACKS,2013-01-13,2013-06-13,2013
1322,RAYTHEON CO,USA,92940,CIRCUIT CARD ASSEMBLY,2013-01-13,2013-06-13,2013
